"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"ATLÁNTICO","8","PALMAR DE VARELA","8520","Bolsa Desplazados","2008","Asignados","3","34612500"
"HUILA","41","PALERMO","41524","MI CASA YA","2020","Asignados","6","105336360"
"SANTANDER","68","FLORIÁN","68271","Bolsa Ordinaria","2005","Restitución SFV Cobro Directo Fiduciaria","6","33572000"
"CUNDINAMARCA","25","MADRID","25430","Semillero de Propietarios Arriendo","2021","Asignados","2","26900760"
"ANTIOQUIA","5","YARUMAL","5887","MI CASA YA","2020","Asignados","2","52668180"
"ANTIOQUIA","5","ABEJORRAL","5002","Bolsa Esfuerzo Territorial","2006","Restitucion de subsidios no aplicados","2","16000000"
"ANTIOQUIA","5","RIONEGRO","5615","Casa Digna Vida Digna","2021","Renuncias al subsidio","1","9935752"
"TOLIMA","73","GUAMO","73319","MI CASA YA","2020","Asignados","3","52668180"
"CESAR","20","AGUACHICA","20011","MI CASA YA","2018","Asignados","1","23437260"
"HUILA","41","RIVERA","41615","MI CASA YA","2024","Asignados","1","39000000"
"HUILA","41","COLOMBIA","41206","Bolsa Desplazados","2010","Apto con subsidio vencido","1","15450000"
"ANTIOQUIA","5","RIONEGRO","5615","MI CASA YA","2024","Asignados","4","104000000"
"BOYACÁ","15","CHIQUINQUIRÁ","15176","MI CASA YA","2016","Asignados","4","49640760"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2018","Asignados","3","54686940"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2017","Asignados","5","88526040"
"NARIÑO","52","BARBACOAS","52079","Casa Digna Vida Digna","2025","Asignados","1","13920000"
"VALLE DEL CAUCA","76","PALMIRA","76520","MI CASA YA","2021","Asignados","5","118108380"
"HUILA","41","ACEVEDO","41006","Programa Vivienda Gratuita Fase II","2023","Asignados","1","58812801"
"ANTIOQUIA","5","VALDIVIA","5854","Bolsa Desplazados","2010","Asignado con aplicación en Vivienda Gratuita","1","15450000"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","MI CASA YA","2016","Asignados","4","44125120"
"ANTIOQUIA","5","RIONEGRO","5615","Bolsa Desplazados","2010","Asignados","10","148062500"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2022","Asignados","6","120000000"
"CESAR","20","VALLEDUPAR","20001","MI CASA YA","2018","Asignados","7","124998720"
"ANTIOQUIA","5","COPACABANA","5212","Semillero de Propietarios Arriendo","2022","Asignados","1","15344640"
"ATLÁNTICO","8","BARRANQUILLA","8001","Bolsa Desplazados","2008","Restitución SFV por Indemnización","3","44721000"
"CESAR","20","AGUACHICA","20011","MI CASA YA","2020","Asignados","2","52668180"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Semillero de Propietarios Arriendo","2022","Asignados","2","30689280"
"SANTANDER","68","GIRÓN","68307","Semillero de Propietarios Arriendo","2022","Asignados","1","15344640"
"HUILA","41","PITAL","41548","MI CASA YA","2024","Asignados","1","39000000"
"VALLE DEL CAUCA","76","FLORIDA","76275","MI CASA YA","2019","Apto con subsidio vencido","1","24843480"
"MAGDALENA","47","ALGARROBO","47030","Casa Digna Vida Digna","2025","Asignados","1","15600000"
"NARIÑO","52","IPIALES","52356","MI CASA YA","2015","Asignados","1","12887000"
"ATLÁNTICO","8","SANTO TOMÁS","8685","Bolsa Concejales","2011","Asignados","1","11515400"
"ANTIOQUIA","5","TÁMESIS","5789","Programa Vivienda Gratuita Fase I","2015","Asignados","1","36960000"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2023","Renuncias al subsidio","3","104400000"
"RISARALDA","66","DOSQUEBRADAS","66170","VIPA","2016","Perdida de ejecutoriedad de asignación de SFV","2","41367300"
"NARIÑO","52","BARBACOAS","52079","Casa Digna Vida Digna","2025","Asignados","1","13920000"
"CÓRDOBA","23","PUERTO LIBERTADOR","23580","Bolsa Desplazados","2006","Asignados","11","129945168"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","Casa Digna Vida Digna","2025","Asignados","2","31196510"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2018","Asignados","6","140623560"
"BOLÍVAR","13","ARJONA","13052","Bolsa Desplazados","2006","Asignados","2","20400000"
"ATLÁNTICO","8","BARANOA","8078","MI CASA YA","2018","Asignados","1","15624840"
"ATLÁNTICO","8","JUAN DE ACOSTA","8372","Casa Digna Vida Digna","2024","Asignados","2","31200000"
"TOLIMA","73","ARMERO","73055","MI CASA YA","2023","Asignados","2","46400000"
"ANTIOQUIA","5","COPACABANA","5212","Semillero de Propietarios Arriendo","2021","Asignados","2","21539016"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","MI CASA YA","2016","Apto con subsidio vencido","1","13789100"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2018","Asignados","2","46874520"
"CAUCA","19","SANTANDER DE QUILICHAO","19698","MI CASA YA","2019","Apto con subsidio vencido","1","16562320"
"CUNDINAMARCA","25","ANAPOIMA","25035","MI CASA YA","2016","Asignados","1","13789100"
"META","50","ACACÍAS","50006","Ahorro Programado Contractual","2012","Asignados","1","7659080"
"ANTIOQUIA","5","BELLO","5088","MI CASA YA","2023","Asignados","1","34800000"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2022","Apto con subsidio vencido","1","20000000"
"ANTIOQUIA","5","RIONEGRO","5615","MI CASA YA","2021","Asignados","1","18170520"
"QUINDÍO","63","ARMENIA","63001","Semillero de Propietarios Arriendo","2020","Asignados","1","13303885"
"ATLÁNTICO","8","BARRANQUILLA","8001","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2022","Asignados","554","10284514320"
"META","50","LEJANÍAS","50400","Bolsa Desplazados","2010","Asignados","2","30900000"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","Bolsa Ordinaria","2003","Apto con subsidio vencido","2","12051000"
"SANTANDER","68","SAN GIL","68679","Bolsa Esfuerzo Territorial","2007","Asignados","2","17000000"
"CUNDINAMARCA","25","TOCANCIPÁ","25817","Semillero de Propietarios Ahorro","2023","Asignados","1","6960000"
"BOYACÁ","15","TUNJA","15001","MI CASA YA","2021","Asignados","1","27255780"
"RISARALDA","66","PEREIRA","66001","MI CASA YA","2020","Renuncias al subsidio","1","17556060"
"ANTIOQUIA","5","NARIÑO","5483","Bolsa Desplazados","2009","Asignado con aplicación en Vivienda Gratuita","1","14907000"
"CUNDINAMARCA","25","CHÍA","25175","MI CASA YA","2019","Renuncias al subsidio","1","16562320"
"TOLIMA","73","ESPINAL","73268","MI CASA YA","2016","Asignados","2","27578200"
"NARIÑO","52","PASTO","52001","Semillero de Propietarios Arriendo","2022","Asignados","3","46033920"
"VALLE DEL CAUCA","76","GUACARÍ","76318","Programa Vivienda Gratuita Fase I","2013","Renuncias al subsidio","1","40086000"
"BOYACÁ","15","CHIQUINQUIRÁ","15176","Bolsa Desplazados","2010","Asignado con aplicación en Vivienda Gratuita","1","15450000"
"CAUCA","19","PUERTO TEJADA","19573","MI CASA YA","2021","Asignados","2","36341040"
"BOLÍVAR","13","MAGANGUÉ","13430","MI CASA YA","2023","Asignados","2","69600000"
"SANTANDER","68","PIEDECUESTA","68547","Semillero de Propietarios Arriendo","2022","Asignados","6","88743168"
"HUILA","41","ALGECIRAS","41020","MI CASA YA","2022","Asignados","1","30000000"
"TOLIMA","73","FLANDES","73275","MI CASA YA","2023","Asignados","1","23200000"
"ANTIOQUIA","5","APARTADÓ","5045","MI CASA YA","2020","Asignados","1","17556060"
"VALLE DEL CAUCA","76","GUADALAJARA DE BUGA","76111","MI CASA YA","2017","Asignados","1","14754340"
"ANTIOQUIA","5","CAREPA","5147","MI CASA YA","2021","Apto con subsidio vencido","1","27255780"
"ATLÁNTICO","8","SABANAGRANDE","8634","MI CASA YA","2023","Renuncias al subsidio","1","23200000"
"MAGDALENA","47","SANTA MARTA","47001","MI CASA YA","2020","Asignados","1","17556060"
"TOLIMA","73","RIOBLANCO","73616","Bolsa Desplazados","2006","Asignados","2","25107000"
"CHOCÓ","27","QUIBDÓ","27001","Bolsa Desplazados","2007","Apto con subsidio vencido","1","10842500"
"ANTIOQUIA","5","SANTA ROSA DE OSOS","5686","MI CASA YA","2018","Asignados","2","46874520"
"NARIÑO","52","SAN LORENZO","52687","Ahorro Programado Contractual","2009","Asignados","1","7105670"
"CAQUETÁ","18","FLORENCIA","18001","Bolsa Ordinaria","2005","Renuncias al subsidio","1","8011500"
"ATLÁNTICO","8","GALAPA","8296","MI CASA YA","2021","Asignados","1","27255780"
"BOLÍVAR","13","MARÍA LA BAJA","13442","Bolsa Concejales","2008","Asignados","1","10153000"
"CALDAS","17","VILLAMARÍA","17873","MI CASA YA","2022","Asignados","1","20000000"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2018","Apto con subsidio vencido","1","15624840"
"SANTANDER","68","PIEDECUESTA","68547","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"ANTIOQUIA","5","EL CARMEN DE VIBORAL","5148","MI CASA YA","2024","Asignados","1","26000000"
"CESAR","20","VALLEDUPAR","20001","VIPA","2017","Asignados","1","20683650"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Programa Vivienda Gratuita Fase I","2014","Subsidio revocado mediante procedimiento Administrativo Sancionatorio","1","39949700"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Bolsa Desplazados","2006","Asignados","1","8950000"
"CAQUETÁ","18","FLORENCIA","18001","Bolsa Desplazados","2006","Asignado con aplicación en Vivienda Gratuita","1","13280000"
"BOYACÁ","15","TUNJA","15001","Semillero de Propietarios Arriendo","2024","Asignados","17","77880000"
"HUILA","41","GUADALUPE","41319","Bolsa Esfuerzo Territorial","2007","Asignados","72","640324332"
"NORTE DE SANTANDER","54","EL ZULIA","54261","MI CASA YA","2022","Asignados","1","30000000"
"GUAVIARE","95","CALAMAR","95015","Bolsa Ordinaria","2008","Asignados","1","9107700"
"CUNDINAMARCA","25","CHÍA","25175","MI CASA YA","2024","Asignados","19","494000000"
"VALLE DEL CAUCA","76","GUACARÍ","76318","MI CASA YA","2021","Asignados","2","45426300"
"CAUCA","19","GUACHENÉ","19300","Programa Vivienda Gratuita Fase I","2020","Asignados","3","132374961.2"
"LA GUAJIRA","44","URUMITA","44855","Casa Digna Vida Digna","2025","Asignados","6","83520000"
"TOLIMA","73","ESPINAL","73268","MI CASA YA","2022","Asignados","5","150000000"
"ANTIOQUIA","5","CALDAS","5129","Programa Vivienda Gratuita Fase I","2015","Asignados","1","36960000"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2019","Renuncias al subsidio","1","24843480"
"BOYACÁ","15","NOBSA","15491","MI CASA YA","2021","Asignados","3","63596820"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2019","Asignados","4","99373920"
"BOYACÁ","15","PAIPA","15516","MI CASA YA","2022","Asignados","2","50000000"
"SANTANDER","68","BUCARAMANGA","68001","MI CASA YA","2022","Asignados","4","100000000"
"ANTIOQUIA","5","YOLOMBÓ","5890","Bolsa Desplazados","2011","Asignado con aplicación en Vivienda Gratuita","1","16068000"
"CESAR","20","AGUACHICA","20011","Bolsa Desplazados","2010","Apto con subsidio vencido","1","15450000"
"ANTIOQUIA","5","SAN ROQUE","5670","MI CASA YA","2020","Asignados","3","79002270"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2016","Asignados","1","13789100"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2020","Renuncias al subsidio","1","26334090"
"VALLE DEL CAUCA","76","CANDELARIA","76130","Semillero de Propietarios Arriendo","2022","Asignados","1","13682304"
"TOLIMA","73","IBAGUÉ","73001","VIPA","2016","Asignados","1","20683650"
"ANTIOQUIA","5","SAN PEDRO DE LOS MILAGROS","5664","MI CASA YA","2022","Asignados","2","50000000"
"SANTANDER","68","CAPITANEJO","68147","Bolsa Desplazados","2008","Asignados","2","23075000"
"CHOCÓ","27","QUIBDÓ","27001","Programa Vivienda Gratuita Fase I","2017","Asignados","1","55414100"
"RISARALDA","66","DOSQUEBRADAS","66170","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2021","Apto con subsidio vencido","1","27255780"
"ANTIOQUIA","5","GÓMEZ PLATA","5310","Bolsa Desplazados","2008","Asignados","1","11537500"
"CUNDINAMARCA","25","CHOACHÍ","25181","Ahorro Programado Contractual","2011","Asignados","1","7659080"
"SANTANDER","68","BARRANCABERMEJA","68081","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"BOYACÁ","15","DUITAMA","15238","MI CASA YA","2024","Asignados","1","39000000"
"CÓRDOBA","23","CERETÉ","23162","MI CASA YA","2016","Asignados","1","13789100"
"CHOCÓ","27","EL LITORAL DEL SAN JUAN","27250","Bolsa Desplazados","2008","Asignados","1","14907000"
"NORTE DE SANTANDER","54","EL CARMEN","54245","Bolsa Desplazados","2010","Asignado con aplicación en Vivienda Gratuita","1","15450000"
"TOLIMA","73","IBAGUÉ","73001","Bolsa Desplazados","2017","Asignados","1","22131510"
"RISARALDA","66","DOSQUEBRADAS","66170","VIPA","2016","Renuncias al subsidio","1","20683650"
"TOLIMA","73","ESPINAL","73268","Bolsa Desplazados","2005","Asignados","2","17900000"
"SUCRE","70","SAN PEDRO","70717","Bolsa Desplazados","2004","Asignados","12","107400000"
"ANTIOQUIA","5","DABEIBA","5234","Casa Digna Vida Digna","2025","Asignados","1","13920000"
"ANTIOQUIA","5","YARUMAL","5887","MI CASA YA","2020","Apto con subsidio vencido","1","26334090"
"CALDAS","17","SUPÍA","17777","Bolsa Desplazados","2008","Asignados","1","8695750"
"GUAVIARE","95","SAN JOSÉ DEL GUAVIARE","95001","MI CASA YA","2023","Asignados","1","34800000"
"BOYACÁ","15","TUNJA","15001","Semillero de Propietarios Ahorro","2022","Asignados","1","6000000"
"CALDAS","17","VILLAMARÍA","17873","Bolsa Desplazados","2009","Asignados","1","8695750"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Bolsa Ordinaria","2003","Asignados","353","2141985000"
"ATLÁNTICO","8","BARRANQUILLA","8001","VIPA","2016","Asignados","44","896291482"
"META","50","GRANADA","50313","MI CASA YA","2021","Asignados","1","18170520"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2021","Asignados","20","499689300"
"BOLÍVAR","13","MORALES","13473","Casa Digna Vida Digna","2025","Asignados","5","69574611"
"ANTIOQUIA","5","CALDAS","5129","MI CASA YA","2018","Asignados","2","39062100"
"SANTANDER","68","PIEDECUESTA","68547","MI CASA YA","2017","Apto con subsidio vencido","1","14754340"
"VALLE DEL CAUCA","76","CARTAGO","76147","Ahorro Programado Contractual","2011","Asignados","1","8483484"
"VALLE DEL CAUCA","76","GUACARÍ","76318","MI CASA YA","2019","Asignados","10","240153640"
"ANTIOQUIA","5","CALDAS","5129","MI CASA YA","2020","Asignados","1","17556060"
"CAUCA","19","BUENOS AIRES","19110","Bolsa Desplazados","2008","Asignados","5","51918750"
"RISARALDA","66","PEREIRA","66001","MI CASA YA","2015","Asignados","3","33506200"
"CAUCA","19","POPAYÁN","19001","Bolsa Desplazados","2011","Asignados","37","612066960"
"BOYACÁ","15","CHITA","15183","Bolsa Atentados terroristas","2004","Asignados","14","83545314"
"NARIÑO","52","CUMBAL","52227","Casa Digna Vida Digna","2025","Asignados","12","187200000"
"CALDAS","17","MANIZALES","17001","MI CASA YA","2024","Asignados","2","65000000"
"BOYACÁ","15","TUNJA","15001","MI CASA YA","2024","Asignados","19","572000000"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2021","Apto con subsidio vencido","5","87780300"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2020","Asignados","9","210672720"
"CHOCÓ","27","QUIBDÓ","27001","Bolsa Desplazados","2007","Asignados","164","2249652000"
"ANTIOQUIA","5","LA CEJA","5376","MI CASA YA","2023","Asignados","8","185600000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2022","Renuncias al subsidio","1","20000000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2021","Asignados","30","590541900"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2017","Asignados","4","59017360"
"BOYACÁ","15","NOBSA","15491","Bolsa Esfuerzo Territorial","2011","Asignados","60","665256400"
"SANTANDER","68","SAN GIL","68679","MI CASA YA","2020","Asignados","25","517903770"
"META","50","VILLAVICENCIO","50001","Bolsa unica Nacional","2010","Apto con subsidio vencido","4","43478750"
"VALLE DEL CAUCA","76","CARTAGO","76147","Semillero de Propietarios Ahorro","2022","Asignados","2","12000000"
"LA GUAJIRA","44","MANAURE","44560","VIPA","2022","Asignados","2","54511560"
"CUNDINAMARCA","25","FACATATIVÁ","25269","Semillero de Propietarios Arriendo","2021","Asignados","4","47050608"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2015","Asignados","7","69589800"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2017","Asignados","5","73771700"
"NORTE DE SANTANDER","54","LOS PATIOS","54405","MI CASA YA","2020","Asignados","1","17556060"
"SANTANDER","68","AGUADA","68013","Bolsa Desastres Naturales","2005","Renuncias al subsidio","1","8011500"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2023","Asignados","4","92800000"
"ATLÁNTICO","8","BARRANQUILLA","8001","Programa Vivienda Gratuita Fase I","2014","Subsidio revocado mediante procedimiento Administrativo Sancionatorio","3","129360000"
"VALLE DEL CAUCA","76","CARTAGO","76147","MI CASA YA","2017","Asignados","4","88526040"
"LA GUAJIRA","44","ALBANIA","44035","Casa Digna Vida Digna","2025","Asignados","11","153120000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2017","Asignados","1","14754340"
"CUNDINAMARCA","25","MADRID","25430","Semillero de Propietarios Arriendo","2021","Asignados","3","40351140"
"RISARALDA","66","SANTA ROSA DE CABAL","66682","MI CASA YA","2020","Asignados","2","52668180"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2021","Renuncias al subsidio","1","18170520"
"BOYACÁ","15","SOATÁ","15753","MI CASA YA","2020","Asignados","2","52668180"
"RISARALDA","66","SANTA ROSA DE CABAL","66682","MI CASA YA","2019","Asignados","1","16562320"
"SUCRE","70","SINCELEJO","70001","MI CASA YA","2020","Asignados","2","52668180"
"VALLE DEL CAUCA","76","GUACARÍ","76318","MI CASA YA","2019","Asignados","1","24843480"
"CESAR","20","VALLEDUPAR","20001","Bolsa Desplazados","2010","Apto con subsidio vencido","1","15450000"
"ATLÁNTICO","8","PIOJÓ","8549","Casa Digna Vida Digna","2025","Asignados","2","31200000"
"CUNDINAMARCA","25","LA MESA","25386","MI CASA YA","2022","Asignados","2","40000000"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2018","Asignados","8","124998720"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2024","Apto con subsidio vencido","2","65000000"
"BOYACÁ","15","DUITAMA","15238","MI CASA YA","2020","Asignados","2","52668180"
"CUNDINAMARCA","25","ZIPAQUIRÁ","25899","MI CASA YA","2023","Asignados","14","324800000"
"ANTIOQUIA","5","ABEJORRAL","5002","Bolsa Desplazados","2008","Asignados","18","212014750"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2019","Asignados","48","1084831960"
"TOLIMA","73","VENADILLO","73861","MI CASA YA","2023","Asignados","5","162400000"
"CUNDINAMARCA","25","GUADUAS","25320","Bolsa Desplazados","2008","Asignados","8","63541500"
"LA GUAJIRA","44","FONSECA","44279","Casa Digna Vida Digna","2025","Asignados","29","452370524"
"BOYACÁ","15","CHIQUINQUIRÁ","15176","MI CASA YA","2023","Asignados","1","23200000"
"ANTIOQUIA","5","RIONEGRO","5615","Casa Digna Vida Digna","2022","Renuncias al subsidio","2","22800000"
"ANTIOQUIA","5","SALGAR","5642","Bolsa Desplazados","2008","Asignados","8","103378750"
"CÓRDOBA","23","SAHAGÚN","23660","MI CASA YA","2019","Asignados","1","16562320"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2021","Apto con subsidio vencido","1","27255780"
"NARIÑO","52","BUESACO","52110","Programa Vivienda Gratuita Fase II","2019","Asignados","7","388386404"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2022","Asignados","23","600000000"
"VALLE DEL CAUCA","76","PALMIRA","76520","VIPA","2016","Asignados","10","199941950"
"BOYACÁ","15","DUITAMA","15238","MI CASA YA","2017","Asignados","1","14754340"
"ANTIOQUIA","5","GUATAPÉ","5321","Bolsa Ordinaria","2005","Asignados","2","12023000"
"TOLIMA","73","ESPINAL","73268","MI CASA YA","2021","Asignados","7","181705200"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2021","Asignados","19","490604040"
"LA GUAJIRA","44","ALBANIA","44035","Casa Digna Vida Digna","2025","Asignados","29","403680000"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2022","Asignados","28","780000000"
"VALLE DEL CAUCA","76","PALMIRA","76520","MI CASA YA","2018","Asignados","5","93749040"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2017","Renuncias al subsidio","2","44263020"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","VIPA","2016","Asignados","11","227520150"
"SUCRE","70","SINCELEJO","70001","MI CASA YA","2017","Asignados","1","8852604"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2020","Asignados","1","17556060"
"CUNDINAMARCA","25","CHÍA","25175","MI CASA YA","2022","Asignados","2","40000000"
"CUNDINAMARCA","25","CABRERA","25120","Bolsa Desplazados","2007","Asignados","1","8695750"
"RISARALDA","66","DOSQUEBRADAS","66170","MI CASA YA","2019","Asignados","6","149060880"
"VALLE DEL CAUCA","76","CARTAGO","76147","Bolsa Esfuerzo Territorial","2010","Asignados","9","90915500"
"BOLÍVAR","13","EL CARMEN DE BOLÍVAR","13244","Bolsa Desplazados","2010","Asignados","6","92700000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2017","Asignados","4","59017360"
"VALLE DEL CAUCA","76","CARTAGO","76147","MI CASA YA","2017","Asignados","1","8852604"
"RISARALDA","66","PEREIRA","66001","MI CASA YA","2020","Asignados","2","43890150"
"ATLÁNTICO","8","SABANALARGA","8638","Casa Digna Vida Digna","2025","Asignados","1","15600000"
"CESAR","20","EL PASO","20250","Bolsa Desplazados","2009","Asignado con aplicación en Vivienda Gratuita","1","14907000"
"VALLE DEL CAUCA","76","ZARZAL","76895","MI CASA YA","2024","Asignados","2","65000000"
"RISARALDA","66","SANTA ROSA DE CABAL","66682","MI CASA YA","2020","Renuncias al subsidio","1","26334090"
"CUNDINAMARCA","25","FUNZA","25286","MI CASA YA","2023","Asignados","3","69600000"
"ANTIOQUIA","5","BELLO","5088","MI CASA YA","2023","Renuncias al subsidio","1","34800000"
"SANTANDER","68","BUCARAMANGA","68001","MI CASA YA","2024","Asignados","5","169000000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2018","Perdida de ejecutoriedad de asignación de SFV","1","23437260"
"QUINDÍO","63","QUIMBAYA","63594","MI CASA YA","2020","Asignados","4","105336360"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","Semillero de Propietarios Arriendo","2020","Asignados","1","13303885"
"QUINDÍO","63","QUIMBAYA","63594","MI CASA YA","2021","Asignados","10","272557800"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2020","Asignados","14","342343170"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2022","Asignados","22","600000000"
"ANTIOQUIA","5","VALPARAÍSO","5856","MI CASA YA","2021","Asignados","1","27255780"
"BOYACÁ","15","PAIPA","15516","Bolsa Saludable","2010","Asignados","43","165431672"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2016","Asignados","18","242688160"
"CESAR","20","SAN DIEGO","20750","Casa Digna Vida Digna","2025","Asignados","17","265200000"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2018","Asignados","2","39062100"
"CALDAS","17","MANIZALES","17001","Bolsa Desplazados","2009","Asignado con aplicación en Vivienda Gratuita","1","8695750"
"ATLÁNTICO","8","GALAPA","8296","MI CASA YA","2020","Asignados","2","43890150"
"ARAUCA","81","TAME","81794","Bolsa Desplazados","2010","Asignados","24","370800000"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2021","Asignados","56","1326447960"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2021","Asignados","3","81767340"
"HUILA","41","NEIVA","41001","MI CASA YA","2016","Asignados","1","13789100"
"VALLE DEL CAUCA","76","BUGALAGRANDE","76113","Programa Vivienda Gratuita Fase I","2016","Asignados","48","2102555760"
"CESAR","20","VALLEDUPAR","20001","MI CASA YA","2022","Asignados","14","370000000"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2016","Asignados","3","35851660"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2020","Asignados","4","79002270"
"ANTIOQUIA","5","LA CEJA","5376","MI CASA YA","2021","Asignados","6","118108380"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2024","Asignados","23","884000000"
"BOYACÁ","15","BELÉN","15087","MI CASA YA","2024","Asignados","9","325000000"
"BOYACÁ","15","CUBARÁ","15223","Bolsa Desplazados","2008","Asignados","1","11537500"
"VALLE DEL CAUCA","76","LA UNIÓN","76400","Bolsa Esfuerzo Territorial","2012","Apto con subsidio vencido","3","21534600"
"SANTANDER","68","SAN GIL","68679","MI CASA YA","2021","Asignados","1","27255780"
"CESAR","20","VALLEDUPAR","20001","MI CASA YA","2025","Asignados","2","85410000"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2023","Apto con subsidio vencido","3","104400000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2024","Asignados","9","260000000"
"BOYACÁ","15","FIRAVITOBA","15272","MI CASA YA","2021","Asignados","1","27255780"
"PUTUMAYO","86","MOCOA","86001","Bolsa Concejales","2008","Apto con subsidio vencido","1","10153000"
"CÓRDOBA","23","VALENCIA","23855","Casa Digna Vida Digna","2025","Asignados","19","296400000"
"ANTIOQUIA","5","TURBO","5837","MI CASA YA","2024","Asignados","2","52000000"
"SUCRE","70","SAN JOSÉ DE TOLUVIEJO","70823","Programa Vivienda Gratuita Fase I","2012","Asignados","1","39669000"
"NARIÑO","52","PASTO","52001","Programa Vivienda Gratuita Fase I","2014","Subsidio revocado mediante procedimiento Administrativo Sancionatorio","1","43120000"
"CALDAS","17","MANIZALES","17001","MI CASA YA","2024","Asignados","2","65000000"
"CALDAS","17","MANIZALES","17001","MI CASA YA","2018","Asignados","2","31249680"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2019","Asignados","1","16562320"
"NORTE DE SANTANDER","54","EL ZULIA","54261","Bolsa Esfuerzo Territorial","2007","Restitución SFV por Vencimiento Vigencia","4","36350800"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2018","Asignados","6","101561460"
"SANTANDER","68","FLORIDABLANCA","68276","MI CASA YA","2019","Asignados","3","74530440"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2018","Apto con subsidio vencido","1","23437260"
